month,Age Ranges,gender,number of bikes,avg trip duration
January,<20,0,73,3562.054794520548
January,<20,1,7598,1029.0950250065807
January,<20,2,2232,961.56541218638
January,20-29,0,1809,787.1564400221116
January,20-29,1,182794,734.2784500585358
January,20-29,2,57256,909.8910332541568
January,30-39,0,2567,721.8359953252824
January,30-39,1,231799,695.8564920469889
January,30-39,2,63575,772.1737632717263
January,40-49,0,28721,1874.300094007869
January,40-49,1,150147,709.1099722272173
January,40-49,2,39433,870.7752136535389
January,50-59,0,626,788.6453674121406
January,50-59,1,107908,699.7686733143048
January,50-59,2,31154,796.7902035051678
January,60-69,0,218,752.9816513761468
January,60-69,1,40244,726.908085677368
January,60-69,2,10412,826.115443718786
January,70+,0,30,496.03333333333336
January,70+,1,5954,747.7821632515955
January,70+,2,1896,705.1893459915611
February,<20,0,98,913.8775510204082
February,<20,1,8305,882.3104154124022
February,<20,2,2260,1264.9137168141592
February,20-29,0,1672,1716.2266746411483
February,20-29,1,185163,775.1461685109876
February,20-29,2,60237,866.4577419194183
February,30-39,0,2746,1262.0924981791698
February,30-39,1,225426,702.4113456300515
February,30-39,2,62435,829.5668134860255
February,40-49,0,31194,2108.075078540745
February,40-49,1,140882,723.9406808534802
February,40-49,2,36710,840.1725687823481
February,50-59,0,819,863.8705738705738
February,50-59,1,100130,701.0246779187057
February,50-59,2,29923,850.2464993483273
February,60-69,0,145,723.751724137931
February,60-69,1,37116,713.3971602543378
February,60-69,2,10046,851.9456500099542
February,70+,0,21,528.2380952380952
February,70+,1,6099,782.1649450729628
February,70+,2,1812,1014.0220750551877
March,<20,0,116,1813.1724137931035
March,<20,1,14306,1042.1890116035229
March,<20,2,3851,1622.016359387172
March,20-29,0,2733,959.5697036223929
March,20-29,1,262588,821.1620637652901
March,20-29,2,90662,979.0349429750061
March,30-39,0,3697,920.2961860968353
March,30-39,1,305783,779.9103285663363
March,30-39,2,89818,906.9031708566212
March,40-49,0,63616,2200.6556369466803
March,40-49,1,187555,753.0581376129669
March,40-49,2,51467,919.997221520586
March,50-59,0,1006,747.5705765407555
March,50-59,1,133609,736.4422381725782
March,50-59,2,41929,814.9020964010589
March,60-69,0,197,775.7614213197969
March,60-69,1,50052,726.4432989690722
March,60-69,2,13532,992.8434082175584
March,70+,0,36,558.8888888888889
March,70+,1,8176,728.0275195694717
March,70+,2,2413,846.5627849150435
April,<20,0,234,1455.6752136752136
April,<20,1,20858,1195.2459008533897
April,<20,2,6742,1510.9526846633046
April,20-29,0,3592,1264.741091314031
April,20-29,1,352626,962.2151457918588
April,20-29,2,140282,1235.5221910152407
April,30-39,0,4645,1737.2727664155004
April,30-39,1,388713,925.7203720997239
April,30-39,2,125075,1048.0268319008594
April,40-49,0,128148,2275.4014342791147
April,40-49,1,226666,860.7123432715979
April,40-49,2,66336,1047.0726905451038
April,50-59,0,1207,825.9246064623032
April,50-59,1,161112,825.4044453547842
April,50-59,2,51555,984.7884589273591
April,60-69,0,264,1280.5492424242425
April,60-69,1,58406,870.3349313426703
April,60-69,2,16668,956.4157667386609
April,70+,0,31,792.6774193548387
April,70+,1,9624,850.9900249376559
April,70+,2,2499,985.0496198479392
May,<20,0,182,1145.5934065934066
May,<20,1,22613,1371.2097023835847
May,<20,2,7654,1488.5048340736869
May,20-29,0,4301,1242.2150662636595
May,20-29,1,376655,1019.9356015451806
May,20-29,2,159748,1205.0691464055888
May,30-39,0,5321,938.1317421537306
May,30-39,1,413054,890.6943958901257
May,30-39,2,140888,1052.623850150474
May,40-49,0,156616,2275.2966044337745
May,40-49,1,244981,832.8343667468089
May,40-49,2,75902,1054.6906537377145
May,50-59,0,1290,882.893023255814
May,50-59,1,167462,808.2187063333771
May,50-59,2,57316,949.0896782748273
May,60-69,0,266,751.5488721804511
May,60-69,1,58622,817.9617037972092
May,60-69,2,18247,967.6599441004
May,70+,0,50,662.42
May,70+,1,9766,795.0404464468564
May,70+,2,2702,912.3837897853442
June,<20,0,286,1367.832167832168
June,<20,1,27844,1252.1007757506106
June,<20,2,9614,1558.4712918660287
June,20-29,0,5768,1122.9225034674064
June,20-29,1,433047,985.8424928471967
June,20-29,2,195690,1202.07606929327
June,30-39,0,5359,1151.6831498413883
June,30-39,1,446136,908.3801576200979
June,30-39,2,159233,1067.398391037034
June,40-49,0,185803,2529.1345080542296
June,40-49,1,251728,860.3488527299307
June,40-49,2,80096,1001.8546119656412
June,50-59,0,963,872.723779854621
June,50-59,1,170325,857.7513576985175
June,50-59,2,61075,970.1047400736799
June,60-69,0,281,919.55871886121
June,60-69,1,59448,907.4652469385009
June,60-69,2,18498,982.7145637366202
