stop month,station id,number of bikes,avg trip duration,station name,latitude,longitude
January,72.0,1662,745.3971119133574,W 52 St & 11 Ave,40.76727216,-73.99392888
January,79.0,1285,1031.1774319066149,Franklin St & W Broadway,40.71911552,-74.00666661
January,82.0,633,677.8214849921011,St James Pl & Pearl St,40.71117416,-74.00016545
January,83.0,584,739.5359589041096,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328
January,119.0,308,531.3961038961039,Park Ave & St Edwards St,40.69608941,-73.97803415
January,120.0,478,702.3640167364017,Lexington Ave & Classon Ave,40.68676793,-73.95928168
January,127.0,3083,852.8595523840415,Barrow St & Hudson St,40.73172428,-74.00674436
January,128.0,2865,771.1549738219895,MacDougal St & Prince St,40.72710258,-74.00297088
January,143.0,1438,516.1293463143254,Clinton St & Joralemon St,40.69239502,-73.99337909
January,144.0,476,774.1176470588235,Nassau St & Navy St,40.69839895,-73.98068914
January,146.0,1716,1041.369463869464,Hudson St & Reade St,40.71625008,-74.0091059
January,150.0,1487,652.9657027572293,E 2 St & Avenue C,40.720873600000004,-73.98085795
January,151.0,3734,791.9102838778789,Cleveland Pl & Spring St,40.72210378668603,-73.99724900722505
January,157.0,1218,568.5525451559935,Henry St & Atlantic Ave,40.69089272,-73.99612349
January,161.0,2291,870.5216062854648,LaGuardia Pl & W 3 St,40.72917025,-73.99810231
January,164.0,1962,1085.7915392456678,E 47 St & 2 Ave,40.75323098,-73.97032517
January,167.0,2873,691.6825617821092,E 39 St & 3 Ave,40.7489006,-73.97604882
January,168.0,3929,692.1539832018325,W 18 St & 6 Ave,40.73971301,-73.99456405
January,173.0,3789,638.2805489575086,Broadway & W 49 St,40.76068327096592,-73.98452728986742
January,174.0,2404,714.0270382695508,E 25 St & 1 Ave,40.7381765,-73.97738662
January,195.0,2571,836.6740567872423,Liberty St & Broadway,40.70905623,-74.01043382
January,212.0,2223,701.9077822762033,W 16 St & The High Line,40.74334935,-74.00681753
January,216.0,296,596.3783783783783,Columbia Heights & Cranberry St,40.70037867,-73.99548059
January,217.0,1399,960.060042887777,Old Fulton St,40.70277159,-73.99383605
January,223.0,2834,666.2445306986591,W 13 St & 7 Ave,40.73781509,-73.99994661
January,224.0,10,1135.8,Spruce St & Nassau St,40.71146364,-74.00552427
January,228.0,1613,637.0409175449473,E 48 St & 3 Ave,40.7546011026,-73.971878855
January,229.0,3902,636.7798564838545,Great Jones St,40.72743423,-73.99379025
January,232.0,1,1942.0,Cadman Plaza E & Tillary St,40.69597683,-73.99014892
January,236.0,2775,1163.707027027027,St Marks Pl & 2 Ave,40.7284186,-73.98713956
January,237.0,3774,726.8587705352411,E 11 St & 2 Ave,40.73047309,-73.98672378
January,238.0,1506,763.8891102257636,Bank St & Washington St,40.7361967,-74.00859207
January,239.0,1718,451.82479627473805,Willoughby St & Fleet St,40.69196566,-73.9813018
January,241.0,679,700.9366715758468,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121
January,242.0,629,741.7058823529412,Carlton Ave & Flushing Ave,40.697787,-73.973736
January,243.0,822,550.0936739659368,Fulton St & Rockwell Pl,40.688226,-73.979382
January,244.0,896,593.1060267857143,Willoughby Ave & Hall St,40.69196035,-73.96536851
January,245.0,430,2301.6837209302325,Myrtle Ave & St Edwards St,40.69327018,-73.97703874
January,247.0,1333,799.3030757689422,Perry St & Bleecker St,40.73535398,-74.00483091
January,248.0,621,818.9291465378421,Laight St & Hudson St,40.72185379,-74.00771779
January,249.0,902,715.7427937915743,Harrison St & Hudson St,40.71870987,-74.0090009
January,251.0,2290,819.3165938864629,Mott St & Prince St,40.72317958,-73.99480012
January,252.0,1718,723.7671711292201,MacDougal St & Washington Sq,40.73226398,-73.99852205
January,254.0,2325,962.050752688172,W 11 St & 6 Ave,40.73532427,-73.99800419
January,257.0,1997,705.9459188783175,Lispenard St & Broadway,40.71939226,-74.00247214
January,258.0,825,841.6351515151515,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458
January,259.0,1044,1006.8505747126437,South St & Whitehall St,40.70122128,-74.01234218
January,260.0,897,861.4403567447046,Broad St & Bridge St,40.70365182,-74.01167797
January,261.0,833,942.8991596638656,Johnson St & Gold St,40.69474881,-73.98362464
January,262.0,724,486.16160220994476,Washington Park,40.6917823,-73.97372990000001
January,264.0,1188,767.3779461279461,Maiden Ln & Pearl St,40.70706456,-74.00731853
