month,usertype,gender,number of bikes,avg trip duration
January,Customer,0,17918,2576.7754213639914
January,Customer,1,16612,1633.5237779918132
January,Customer,2,5643,2577.047492468545
January,Subscriber,0,16211,772.4437727469002
January,Subscriber,1,710518,692.6727598737822
January,Subscriber,2,200385,788.1488434763081
February,Customer,0,19884,2906.5940454636893
February,Customer,1,19329,1945.7116767551347
February,Customer,2,7138,2298.7398430933035
February,Subscriber,0,16884,904.6255034352049
February,Subscriber,1,684135,694.6468504023329
February,Subscriber,2,196374,800.423136464094
March,Customer,0,48623,2661.0289986220514
March,Customer,1,38816,1940.4266024319868
March,Customer,2,19219,2211.461678547271
March,Subscriber,0,22954,780.6113967064564
March,Subscriber,1,923787,731.7487396986535
March,Subscriber,2,274561,841.4416213519036
April,Customer,0,110290,2519.3354973252335
April,Customer,1,76224,1997.2158506507137
April,Customer,2,42919,2380.4953517090335
April,Subscriber,0,27968,1007.0811284324943
April,Subscriber,1,1142327,839.7978582314871
April,Subscriber,2,366366,958.4543380117151
May,Customer,0,138218,2469.381607315979
May,Customer,1,97919,2266.401219375198
May,Customer,2,58429,2311.7167844734636
May,Subscriber,0,29953,904.0754849263847
May,Subscriber,1,1195860,799.9735236566153
May,Subscriber,2,404184,919.9488054945273
June,Customer,0,166992,2723.9317931397914
June,Customer,1,129071,1956.702729505466
June,Customer,2,76781,2142.218244096847
June,Subscriber,0,31693,926.9163853216799
June,Subscriber,1,1270037,818.7237505678968
June,Subscriber,2,450796,924.3688985705286
July,Customer,0,163485,2517.73286845888
July,Customer,1,135302,1635.2998255753796
July,Customer,2,79222,2012.2411198909394
July,Subscriber,0,32544,828.1552052605703
July,Subscriber,1,1305805,787.5351135889356
July,Subscriber,2,464706,883.5315167008819
August,Customer,0,191515,2466.6655614442734
August,Customer,1,157671,1574.5138611412372
August,Customer,2,94679,1949.8005365498157
August,Subscriber,0,34006,837.991089807681
August,Subscriber,1,1372601,791.6977978305422
August,Subscriber,2,493752,893.9605672483352
September,Customer,0,170488,2371.2055804514102
September,Customer,1,165533,1535.5256172485244
September,Customer,2,98386,1715.9406317972068
September,Subscriber,0,35497,881.879003859481
September,Subscriber,1,1446523,792.1367230247981
September,Subscriber,2,528473,889.5405593095579
October,Customer,0,121088,2091.4100901823467
October,Customer,1,114068,1445.800092927026
October,Customer,2,60597,1775.555638067891
October,Subscriber,0,32652,836.836150924905
October,Subscriber,1,1311866,751.5068383508682
October,Subscriber,2,452302,828.8111151398845
November,Customer,0,61003,2157.094503549006
November,Customer,1,62352,1502.145464459841
November,Customer,2,29137,1844.5258949102515
November,Subscriber,0,24012,788.6642512077294
November,Subscriber,1,980153,705.4320723397266
November,Subscriber,2,322051,771.8719705885093
December,Customer,0,28422,2561.7700724790657
December,Customer,1,23446,1887.1867269470272
December,Customer,2,9229,2341.596706035323
December,Subscriber,0,17786,817.1502867423817
December,Subscriber,1,723176,709.7189536157173
December,Subscriber,2,214446,793.6656454305513
